trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
29,0.5,3.0,38.93716429162305,,,,,,,,,,38.92070220829919,38.93716429162305,39.43730075005442,39.42069179168902,39.42069179168902,39.72065445838962,40.10403862502426,right,3.0,1,1,0.6705209166975692,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
30,0.5,3.0,40.12067833333276,,,,,,,,,,40.10406162496656,40.12067833333276,40.620618500048295,40.60400095838122,40.60400095838122,40.903896374977194,41.120700333383866,right,3.0,1,1,0.5021870832424611,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
31,0.5,3.0,41.137185041676275,,,,,,,,,,41.120723666623235,41.137185041676275,41.63622112502344,41.62056104163639,41.62056104163639,41.920433708350174,42.27007012499962,right,3.0,1,1,0.6335602083709091,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
32,0.5,2.5,42.2872832500143,,,,,,,,,,42.27012654161081,42.2872832500143,42.787178208353,42.770567708299495,42.770567708299495,43.070679250056855,43.35402937501203,left,-2.5,1,1,0.582562250085175,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
33,0.5,2.5,43.369970125029795,,,,,,,,,,43.354059791658074,43.369970125029795,43.87058808328584,43.85393300000578,43.85393300000578,44.15388258337043,44.32064820837695,left,-2.5,1,1,0.4601857082452625,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
34,0.5,2.5,44.3366192500107,,,,,,,,,,44.320671375025995,44.3366192500107,44.8371917916229,44.820674708345905,44.820674708345905,45.12055574997794,45.43726958334446,left,-2.5,1,1,0.605419791652821,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
35,0.5,2.0,45.45384249999188,,,,,,,,,,45.437295375042595,45.45384249999188,45.95321987499483,45.936588833341375,45.936588833341375,46.23734041664284,46.35400875005871,left,-2.0,1,1,0.4144889583112672,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
36,0.5,2.0,46.36952025000937,,,,,,,,,,46.354037541663274,46.36952025000937,46.870648583280854,46.853837791713886,46.853837791713886,47.152952166623436,47.22080283332616,right,2.0,0,0,0.36221820837818086,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
37,0.5,2.5,47.23724112496711,,,,,,,,,,47.22082675003912,47.23724112496711,47.737166583305225,47.720585916657,47.720585916657,48.020499333390035,48.33731845836155,left,-2.5,1,1,0.601048166747205,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
38,0.5,2.5,48.35377537505701,,,,,,,,,,48.3373400416458,48.35377537505701,48.853762791724876,48.83714983332902,48.83714983332902,49.13712062500417,49.403975749970414,right,2.5,1,1,0.5618589166551828,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
